Title,US Gross,US Gross Normz,Worldwide Gross,Worldwide Gross Normz,US DVD Sales,US DVD Sales Normz,MPAA Rating,MPAA Rating Quant,MPAA Rating Normz,Running Time (min),Running Time Normz,Distributor,Distributor Quant,Distributro Normz,Source, Source Quant,Source Normz,Major Genre,Major Genre Quant,Major Genre Normz,Rotten Tomatoes Rating,RT Rating Normz,IMDB Rating,IMDB Rating Normz,IMDB Votes,IMDB Votes Normz
Harry Potter and the Half-Blood Prince,301959197,0.397226772,937499905,0.338705338,103574938,0.293761231,PG,5,0.571428571,153,0.607954545,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,83,0.828282828,7.3,0.756410256,73720,0.14189448
The Lord of the Rings: The Two Towers,341784377,0.449616797,926284377,0.334653326,0,0,PG-13,6,0.714285714,179,0.755681818,New Line,86,0.527950311,Based on Book/Short Story,1,0,Adventure,2,0.083333333,54,0.535353535,8.7,0.935897436,326950,0.629305483
Star Wars Ep. I: The Phantom Menace,431088297,0.567096106,924288297,0.33393217,0,0,PG,5,0.571428571,133,0.494318182,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.3,0.628205128,0,0
Jurassic Park,357067947,0.469722334,923067947,0.333491275,0,0,PG-13,6,0.714285714,108,0.352272727,Universal,141,0.869565217,Based on Book/Short Story,1,0,Action,1,0,87,0.868686869,7.9,0.833333333,151365,0.291343705
Shrek 2,441226247,0.580432579,919838758,0.332324615,0,0,PG,5,0.571428571,92,0.261363636,Dreamworks SKG,30,0.180124224,Based on Book/Short Story,1,0,Adventure,2,0.083333333,89,0.888888889,7.5,0.782051282,95658,0.184120214
Harry Potter and the Goblet of Fire,290013036,0.381511597,896013036,0.323716717,215701005,0.611775339,PG-13,6,0.714285714,157,0.630681818,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,88,0.878787879,7.6,0.794871795,111946,0.215470964
Spider-Man 3,336530303,0.442705063,890871626,0.321859198,124058348,0.351856673,PG-13,6,0.714285714,139,0.528409091,Sony Pictures,121,0.745341615,Based on Comic/Graphic Novel,2,0.055555556,Adventure,2,0.083333333,63,0.626262626,6.4,0.641025641,141513,0.272380813
Ice Age: Dawn of the Dinosaurs,196573705,0.258592156,886685941,0.320346969,87544387,0.248295074,PG,5,0.571428571,93,0.267045455,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,7.1,0.730769231,33289,0.064073865
Harry Potter and the Chamber of Secrets,261987880,0.344644504,878987880,0.317565769,0,0,PG,5,0.571428571,161,0.653409091,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,82,0.818181818,7.2,0.743589744,120063,0.23109437
The Lord of the Rings: The Fellowship of the Ring,314776170,0.414087501,868621686,0.313820609,0,0,PG-13,6,0.714285714,178,0.75,New Line,86,0.527950311,Based on Book/Short Story,1,0,Adventure,2,0.083333333,54,0.535353535,8.8,0.948717949,387438,0.745731328
Finding Nemo,339714978,0.446894503,867894287,0.31355781,0,0,G,1,0,100,0.306818182,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,98,0.97979798,8.2,0.871794872,165006,0.317599573
Star Wars Ep. III: Revenge of the Sith,380270577,0.500245394,848998877,0.306731165,0,0,PG-13,6,0.714285714,140,0.534090909,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.3,0.628205128,0,0
Transformers: Revenge of the Fallen,402111870,0.528977615,836303693,0.302144574,217509899,0.616905759,PG-13,6,0.714285714,149,0.585227273,Paramount Pictures,96,0.590062112,Based on TV,11,0.555555556,Action,1,0,20,0.191919192,6,0.58974359,95786,0.184366585
Spider-Man,403706375,0.531075187,821708551,0.296871555,0,0,PG-13,6,0.714285714,121,0.426136364,Sony Pictures,121,0.745341615,Based on Comic/Graphic Novel,2,0.055555556,Adventure,2,0.083333333,89,0.888888889,7.4,0.769230769,167524,0.322446159
Independence Day,306169255,0.402765104,817400878,0.295315254,0,0,PG-13,6,0.714285714,145,0.5625,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,61,0.606060606,6.5,0.653846154,149493,0.287740525
Shrek the Third,322719944,0.424537535,798958162,0.28865216,176400340,0.500310037,PG,5,0.571428571,92,0.261363636,Paramount Pictures,96,0.590062112,Based on Book/Short Story,1,0,Adventure,2,0.083333333,41,0.404040404,6.1,0.602564103,59778,0.115059254
Star Wars Ep. IV: A New Hope,460998007,0.60644233,797900000,0.288269861,11182540,0.031716135,PG,5,0.571428571,108,0.352272727,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.3,0.628205128,0,0
Harry Potter and the Prisoner of Azkaban,249538952,0.328267939,795538952,0.287416848,0,0,PG,5,0.571428571,141,0.539772727,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,90,0.898989899,7.7,0.807692308,108928,0.20966199
ET: The Extra-Terrestrial,435110554,0.572387385,792910554,0.286467245,0,0,PG,5,0.571428571,108,0.352272727,Universal,141,0.869565217,Original Screenplay,15,0.777777778,Drama,7,0.5,54,0.535353535,7.9,0.833333333,105028,0.202155364
The Lost World: Jurassic Park,229086679,0.301362974,786686679,0.284218647,0,0,PG-13,6,0.714285714,134,0.5,Universal,141,0.869565217,Based on Book/Short Story,1,0,Action,1,0,54,0.535353535,6,0.58974359,77124,0.148446417
Indiana Jones and the Kingdom of the Crystal Skull,317023851,0.417044325,786558145,0.284172209,109654917,0.311005385,PG-13,6,0.714285714,108,0.352272727,Paramount Pictures,96,0.590062112,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,77,0.767676768,6.6,0.666666667,135071,0.259981407
The Lion King,328539505,0.432193168,783839505,0.283190003,0,0,G,1,0,108,0.352272727,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,92,0.919191919,8.2,0.871794872,136503,0.262737686
Spider-Man 2,373524485,0.49137091,783705001,0.283141409,4196484,0.011902149,PG-13,6,0.714285714,127,0.460227273,Sony Pictures,121,0.745341615,Based on Comic/Graphic Novel,2,0.055555556,Adventure,2,0.083333333,93,0.929292929,7.7,0.807692308,141940,0.273202692
2012,166112167,0.218520002,766812167,0.277038266,50736023,0.143898484,PG-13,6,0.714285714,158,0.636363636,Sony Pictures,121,0.745341615,Original Screenplay,15,0.777777778,Action,1,0,39,0.383838384,6.2,0.615384615,396,0.000762211
The Da Vinci Code,217536138,0.286168237,757236138,0.273578582,100178981,0.284129553,PG-13,6,0.714285714,108,0.352272727,Sony Pictures,121,0.745341615,Based on Book/Short Story,1,0,Thriller/Suspense,11,0.833333333,25,0.242424242,6.4,0.641025641,116903,0.225012078
Inception,285630280,0.375746082,753830280,0.272348093,0,0,PG-13,6,0.714285714,147,0.573863636,Warner Bros.,150,0.925465839,Original Screenplay,15,0.777777778,Thriller/Suspense,11,0.833333333,87,0.868686869,9.1,0.987179487,188247,0.36233329
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,0.383745212,748806957,0.270533238,352582053,1,PG,5,0.571428571,140,0.534090909,Walt Disney Pictures,148,0.913043478,Based on Book/Short Story,1,0,Adventure,2,0.083333333,76,0.757575758,6.3,0.628205128,0,0
The Matrix Reloaded,281553689,0.370383326,738576929,0.266837273,0,0,R,7,0.857142857,138,0.522727273,Warner Bros.,150,0.925465839,Original Screenplay,15,0.777777778,Action,1,0,73,0.727272727,7.1,0.730769231,148874,0.286549089
Up,293004164,0.385446426,731304609,0.264209886,178459329,0.506149781,PG,5,0.571428571,96,0.284090909,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,98,0.97979798,8.4,0.897435897,110491,0.212670415
Shrek Forever After,238395990,0.313609372,729395990,0.263520329,0,0,PG,5,0.571428571,93,0.267045455,Paramount Pictures,96,0.590062112,Based on Book/Short Story,1,0,Adventure,2,0.083333333,54,0.535353535,6.7,0.679487179,12193,0.023468793
Transformers,319246193,0.419967816,708272592,0.255888743,290787166,0.824736153,PG-13,6,0.714285714,140,0.534090909,Paramount Pictures,96,0.590062112,Based on TV,11,0.555555556,Action,1,0,57,0.565656566,7.3,0.756410256,197131,0.379433
The Twilight Saga: New Moon,296623634,0.390207839,702623634,0.253847854,162665819,0.461355924,PG-13,6,0.714285714,130,0.477272727,Summit Entertainment,128,0.788819876,Based on Book/Short Story,1,0,Drama,7,0.5,28,0.272727273,6.3,0.628205128,0,0
The Twilight Saga: Eclipse,300155447,0.394853939,688155447,0.248620703,0,0,PG-13,6,0.714285714,124,0.443181818,Summit Entertainment,128,0.788819876,Based on Book/Short Story,1,0,Drama,7,0.5,51,0.505050505,6.3,0.628205128,0,0
Forrest Gump,329694499,0.433712563,679400525,0.245457673,0,0,PG-13,6,0.714285714,108,0.352272727,Paramount Pictures,96,0.590062112,Based on Book/Short Story,1,0,Drama,7,0.5,70,0.696969697,8.6,0.923076923,300455,0.578308545
The Sixth Sense,293506292,0.386106976,672806292,0.243075269,0,0,PG-13,6,0.714285714,107,0.346590909,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Thriller/Suspense,11,0.833333333,85,0.848484848,8.2,0.871794872,238745,0.459530624
Star Wars Ep. II: Attack of the Clones,310676740,0.4086947,656695615,0.237254709,0,0,PG,5,0.571428571,142,0.545454545,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.3,0.628205128,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,305411224,0.401767914,655011224,0.236646162,0,0,PG-13,6,0.714285714,143,0.551136364,Walt Disney Pictures,148,0.913043478,Disney Ride,13,0.666666667,Adventure,2,0.083333333,54,0.535353535,8,0.846153846,232719,0.447931925
Ice Age: The Meltdown,195330621,0.256956879,651899282,0.235521862,131919814,0.374153514,PG,5,0.571428571,108,0.352272727,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.9,0.705128205,50981,0.098127001
The Incredibles,261441092,0.343925204,632882184,0.228651252,0,0,PG,5,0.571428571,121,0.426136364,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,97,0.96969697,8.1,0.858974359,159123,0.306276117
Hancock,227946274,0.299862771,624346274,0.225567349,89352567,0.253423469,PG-13,6,0.714285714,108,0.352272727,Sony Pictures,121,0.745341615,Original Screenplay,15,0.777777778,Action,1,0,40,0.393939394,6.5,0.653846154,100822,0.194059757
Iron Man 2,312128345,0.410604287,622128345,0.224766042,0,0,PG-13,6,0.714285714,108,0.352272727,Paramount Pictures,96,0.590062112,Based on Comic/Graphic Novel,2,0.055555556,Adventure,2,0.083333333,74,0.737373737,7.3,0.756410256,61256,0.117904073
Ratatouille,206445654,0.271578705,620495432,0.224176094,189134287,0.536426302,G,1,0,111,0.369318182,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Comedy,4,0.25,96,0.95959596,8.1,0.858974359,131929,0.253933761
The Passion of the Christ,370782930,0.487764394,611899420,0.221070476,618454,0.001754071,R,7,0.857142857,127,0.460227273,Newmarket Films,88,0.540372671,Based on Book/Short Story,1,0,Drama,7,0.5,50,0.494949495,7.1,0.730769231,87326,0.168082981
Madagascar: Escape 2 Africa,180010950,0.236803851,599516844,0.216596826,108725804,0.308370216,PG,5,0.571428571,108,0.352272727,Paramount Pictures,96,0.590062112,Original Screenplay,15,0.777777778,Comedy,4,0.25,64,0.636363636,6.8,0.692307692,30285,0.058291838
Casino Royale,167365000,0.220168104,596365000,0.215458109,79681613,0.225994523,PG-13,6,0.714285714,144,0.556818182,Sony Pictures,121,0.745341615,Based on Book/Short Story,1,0,Action,1,0,94,0.939393939,8,0.846153846,172936,0.332863046
The War of the Worlds,234280354,0.308195253,591745532,0.21378916,0,0,PG-13,6,0.714285714,116,0.397727273,Paramount Pictures,96,0.590062112,Remake,16,0.833333333,Action,1,0,54,0.535353535,7.2,0.743589744,12074,0.023239744
Men in Black,250690539,0.329782852,587790539,0.212360277,0,0,PG-13,6,0.714285714,98,0.295454545,Sony Pictures,121,0.745341615,Based on Comic/Graphic Novel,2,0.055555556,Adventure,2,0.083333333,91,0.909090909,7,0.717948718,119704,0.230403375
I am Legend,256393010,0.337284453,585055701,0.211372219,129742540,0.367978287,PG-13,6,0.714285714,100,0.306818182,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Horror,8,0.583333333,69,0.686868687,7.1,0.730769231,153631,0.295705248
Iron Man,318604126,0.419123177,582604126,0.210486499,169251757,0.480035088,PG-13,6,0.714285714,126,0.454545455,Paramount Pictures,96,0.590062112,Based on Comic/Graphic Novel,2,0.055555556,Action,1,0,94,0.939393939,7.9,0.833333333,174040,0.334987999
Quantum of Solace,169368427,0.222803612,576368427,0.208233629,44912115,0.127380604,PG-13,6,0.714285714,108,0.352272727,Sony Pictures,121,0.745341615,Based on Book/Short Story,1,0,Action,1,0,64,0.636363636,6.8,0.692307692,93596,0.180151326
Night at the Museum,250863268,0.330010077,574480841,0.207551671,153389976,0.4350476,PG,5,0.571428571,108,0.352272727,20th Century Fox,1,0,Based on Book/Short Story,1,0,Comedy,4,0.25,43,0.424242424,6.4,0.641025641,67133,0.129215981
Star Wars Ep. VI: Return of the Jedi,309205079,0.40675873,572700000,0.206908278,12356425,0.03504553,PG,5,0.571428571,108,0.352272727,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.3,0.628205128,0,0
Armageddon,201578182,0.265175545,554600000,0.200369004,0,0,PG-13,6,0.714285714,150,0.590909091,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,42,0.414141414,6.1,0.602564103,194,0.000373407
King Kong,218080025,0.28688372,550517357,0.198894002,140752353,0.399204531,PG-13,6,0.714285714,187,0.801136364,Universal,141,0.869565217,Remake,16,0.833333333,Adventure,2,0.083333333,83,0.828282828,7.6,0.794871795,132720,0.255456259
Mission: Impossible 2,215409889,0.283371156,546209889,0.197337775,0,0,PG-13,6,0.714285714,124,0.443181818,Paramount Pictures,96,0.590062112,Based on TV,11,0.555555556,Action,1,0,54,0.535353535,6.9,0.705128205,86222,0.165958028
The Day After Tomorrow,186740799,0.245656968,544272402,0.196637788,0,0,PG-13,6,0.714285714,124,0.443181818,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,46,0.454545455,6.3,0.628205128,92241,0.177543255
Star Wars Ep. V: The Empire Strikes Back,290271960,0.381852212,534171960,0.192988641,10027926,0.028441397,PG,5,0.571428571,108,0.352272727,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,54,0.535353535,6.3,0.628205128,0,0
WALL-E,223808164,0.294419087,532743103,0.192472415,142201722,0.403315259,G,1,0,97,0.289772727,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Comedy,4,0.25,96,0.95959596,8.5,0.91025641,182257,0.350803883
Madagascar,193595521,0.254674355,532680671,0.192449859,0,0,PG,5,0.571428571,83,0.210227273,Dreamworks SKG,30,0.180124224,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,55,0.545454545,6.6,0.666666667,56480,0.108711343
The Simpsons Movie,183135014,0.240913558,527071022,0.190423172,96359085,0.27329549,PG-13,6,0.714285714,86,0.227272727,20th Century Fox,1,0,Based on TV,11,0.555555556,Comedy,4,0.25,89,0.888888889,7.6,0.794871795,117656,0.226461434
"Monsters, Inc.",255870172,0.336596659,526864330,0.190348497,0,0,G,1,0,95,0.278409091,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,95,0.949494949,7.4,0.769230769,39908,0.076813957
Sherlock Holmes,209028679,0.274976674,518249844,0.187236205,42276167,0.119904478,PG-13,6,0.714285714,108,0.352272727,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,69,0.686868687,7.5,0.782051282,91555,0.176222858
Ghost,217631306,0.28629343,517600000,0.187001426,0,0,,8,1,108,0.352272727,Paramount Pictures,96,0.590062112,Original Screenplay,15,0.777777778,Drama,7,0.5,81,0.808080808,6.9,0.705128205,51125,0.098404168
Terminator 2: Judgment Day,204859496,0.269492114,516816151,0.186718232,0,0,R,7,0.857142857,108,0.352272727,Sony Pictures,121,0.745341615,Original Screenplay,15,0.777777778,Action,1,0,98,0.97979798,8.5,0.91025641,237477,0.457090008
Meet the Fockers,279167575,0.367244393,516567575,0.186628425,0,0,PG-13,6,0.714285714,115,0.392045455,Universal,141,0.869565217,Original Screenplay,15,0.777777778,Comedy,4,0.25,38,0.373737374,6.4,0.641025641,69613,0.133989425
Aladdin,217350219,0.28592366,504050219,0.182106081,0,0,G,1,0,108,0.352272727,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Comedy,4,0.25,54,0.535353535,7.8,0.820512821,69090,0.132982767
Troy,133298577,0.175353724,497398577,0.179702936,0,0,R,7,0.857142857,163,0.664772727,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Action,1,0,54,0.535353535,7,0.717948718,129575,0.249402838
Twister,241888385,0.318203618,495900000,0.179161522,0,0,PG-13,6,0.714285714,117,0.403409091,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Action,1,0,57,0.565656566,6,0.58974359,61665,0.118691306
How to Train Your Dragon,217581231,0.286227557,491581231,0.177601211,0,0,PG,5,0.571428571,108,0.352272727,Paramount Pictures,96,0.590062112,Based on Book/Short Story,1,0,Comedy,4,0.25,98,0.97979798,8.2,0.871794872,28556,0.054963901
Angels & Demons,133375846,0.175455371,485975846,0.175576065,32746864,0.092877286,PG-13,6,0.714285714,108,0.352272727,Sony Pictures,121,0.745341615,Based on Book/Short Story,1,0,Thriller/Suspense,11,0.833333333,35,0.343434343,6.7,0.679487179,60114,0.115705979
Bruce Almighty,242704995,0.319277869,485004995,0.17522531,0,0,PG-13,6,0.714285714,101,0.3125,Universal,141,0.869565217,Original Screenplay,15,0.777777778,Comedy,4,0.25,48,0.474747475,6.6,0.666666667,92494,0.178030223
Toy Story 2,245852179,0.323417989,484966906,0.175211549,0,0,G,1,0,92,0.261363636,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,100,1,8,0.846153846,119357,0.229735478
Shrek,267655011,0.352099615,484399218,0.175006451,0,0,PG,5,0.571428571,90,0.25,Dreamworks SKG,30,0.180124224,Based on Book/Short Story,1,0,Adventure,2,0.083333333,89,0.888888889,8,0.846153846,163855,0.315384156
Saving Private Ryan,216335085,0.284588252,481635085,0.174007809,0,0,R,7,0.857142857,169,0.698863636,Dreamworks SKG,30,0.180124224,Original Screenplay,15,0.777777778,Drama,7,0.5,91,0.909090909,8.5,0.91025641,270540,0.520728874
Mr. And Mrs. Smith,186336279,0.245124822,478336279,0.172815997,0,0,PG-13,6,0.714285714,112,0.375,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Action,1,0,54,0.535353535,4.7,0.423076923,189,0.000363783
Home Alone,285761243,0.375918364,476684675,0.172219296,0,0,PG,5,0.571428571,108,0.352272727,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Comedy,4,0.25,47,0.464646465,7,0.717948718,79080,0.152211279
Charlie and the Chocolate Factory,206459076,0.271596362,474459076,0.171415218,0,0,PG,5,0.571428571,115,0.392045455,Warner Bros.,150,0.925465839,Remake,16,0.833333333,Comedy,4,0.25,82,0.818181818,7.1,0.730769231,102437,0.19716827
Indiana Jones and the Last Crusade,197171806,0.259378958,474171806,0.171311432,18740425,0.053151954,,8,1,108,0.352272727,Paramount Pictures,96,0.590062112,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,89,0.888888889,8.3,0.884615385,171572,0.330237652
Jaws,260000000,0.342029448,470700000,0.170057117,0,0,PG,5,0.571428571,108,0.352272727,Universal,141,0.869565217,Based on Book/Short Story,1,0,Horror,8,0.583333333,100,1,8.3,0.884615385,138017,0.265651796
The Hangover,277322503,0.364817201,465132119,0.16804552,165916727,0.470576212,R,7,0.857142857,99,0.301136364,Warner Bros.,150,0.925465839,Original Screenplay,15,0.777777778,Comedy,4,0.25,78,0.777777778,7.9,0.833333333,127634,0.245666848
Pretty Woman,178406268,0.234692892,463400000,0.16741973,0,0,,8,1,108,0.352272727,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Romantic Comedy,10,0.75,62,0.616161616,6.7,0.679487179,60742,0.116914738
Cars,244082982,0.321090611,461923762,0.166886386,246114559,0.698034846,G,1,0,108,0.352272727,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Comedy,4,0.25,74,0.737373737,7.5,0.782051282,66809,0.128592354
The Matrix,171479930,0.225581294,460279930,0.166292493,0,0,R,7,0.857142857,136,0.511363636,Warner Bros.,150,0.925465839,Original Screenplay,15,0.777777778,Action,1,0,86,0.858585859,8.7,0.935897436,380934,0.733212586
X-Men: The Last Stand,234362462,0.308303266,459359555,0.165959974,103555667,0.293706574,PG-13,6,0.714285714,108,0.352272727,20th Century Fox,1,0,Based on Comic/Graphic Novel,2,0.055555556,Action,1,0,57,0.565656566,6.9,0.705128205,109125,0.210041171
Gladiator,187683805,0.246897492,457683805,0.16535455,0,0,R,7,0.857142857,150,0.590909091,Sony Pictures,121,0.745341615,Original Screenplay,15,0.777777778,Action,1,0,77,0.767676768,8.3,0.884615385,279512,0.537997964
The Last Samurai,111110575,0.146165407,456810575,0.165039064,0,0,R,7,0.857142857,154,0.613636364,Warner Bros.,150,0.925465839,Original Screenplay,15,0.777777778,Action,1,0,65,0.646464646,7.8,0.820512821,106002,0.204030096
Mission: Impossible,180981886,0.238081118,456481886,0.164920313,0,0,PG-13,6,0.714285714,110,0.363636364,Paramount Pictures,96,0.590062112,Based on TV,11,0.555555556,Action,1,0,54,0.535353535,6.9,0.705128205,86222,0.165958028
300,210614939,0.277063399,456068181,0.164770847,261252400,0.740969082,R,7,0.857142857,117,0.403409091,Warner Bros.,150,0.925465839,Based on Comic/Graphic Novel,2,0.055555556,Action,1,0,60,0.595959596,7.8,0.820512821,235508,0.453300125
Ocean's Eleven,183417150,0.241284707,450728529,0.162841706,0,0,PG-13,6,0.714285714,116,0.397727273,Warner Bros.,150,0.925465839,Remake,16,0.833333333,Comedy,4,0.25,81,0.808080808,7.6,0.794871795,139034,0.267609294
Pearl Harbor,198539855,0.261178626,449239855,0.16230387,0,0,PG-13,6,0.714285714,183,0.778409091,Walt Disney Pictures,148,0.913043478,Based on Real Life Events,8,0.388888889,Action,1,0,26,0.252525253,5.4,0.512820513,96186,0.185136495
Tarzan,171091819,0.225070734,448191819,0.161925229,0,0,G,1,0,88,0.238636364,Walt Disney Pictures,148,0.913043478,Based on Book/Short Story,1,0,Adventure,2,0.083333333,88,0.878787879,6.9,0.705128205,26871,0.051720653
The Bourne Ultimatum,227471070,0.29923764,442161562,0.159746582,123314592,0.349747218,PG-13,6,0.714285714,114,0.386363636,Universal,141,0.869565217,Based on Book/Short Story,1,0,Action,1,0,93,0.929292929,8.2,0.871794872,146025,0.281065402
Men in Black 2,190418803,0.250495382,441818803,0.159622748,0,0,PG-13,6,0.714285714,88,0.238636364,Sony Pictures,121,0.745341615,Based on Comic/Graphic Novel,2,0.055555556,Action,1,0,54,0.535353535,7.4,0.769230769,467,0.00089887
Mrs. Doubtfire,219195051,0.288350537,441286003,0.159430255,0,0,PG-13,6,0.714285714,108,0.352272727,20th Century Fox,1,0,Based on Book/Short Story,1,0,Comedy,4,0.25,64,0.636363636,6.6,0.666666667,56917,0.10955247
Terminator 3: Rise of the Machines,150358296,0.197795784,433058296,0.156457701,0,0,R,7,0.857142857,109,0.357954545,Warner Bros.,150,0.925465839,Original Screenplay,15,0.777777778,Action,1,0,54,0.535353535,6.6,0.666666667,107667,0.207234848
The Mummy Returns,202007640,0.265740497,433007640,0.156439399,0,0,PG-13,6,0.714285714,129,0.471590909,Universal,141,0.869565217,Remake,16,0.833333333,Adventure,2,0.083333333,47,0.464646465,6.2,0.615384615,68084,0.131046443
Die Another Day,160942139,0.21171883,431942139,0.156054449,0,0,PG-13,6,0.714285714,133,0.494318182,MGM,80,0.49068323,Based on Book/Short Story,1,0,Action,1,0,59,0.585858586,6,0.58974359,67476,0.129876179
Cast Away,233632142,0.30734253,427230516,0.154352206,0,0,PG-13,6,0.714285714,144,0.556818182,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Drama,7,0.5,89,0.888888889,7.5,0.782051282,102936,0.198128733
